variant,model,MSE,MAE,R2
without sentiment,Linear Regression,1.1023313201573698e-07,0.00017979966362982738,-0.06985930062979184
without sentiment,Random Forest,1.0888691234716896e-07,0.00018110875597393365,-0.05679366775906258
without sentiment,XGBoost,1.3823815082542893e-07,0.00019612964824457688,-0.34165988626119614
without sentiment,Baseline (persistence),2.0274839545405684e-07,,
with sentiment,Linear Regression,1.0971070880870237e-07,0.00017627316295326548,-0.06478896182429539
with sentiment,Random Forest,1.0779125194703825e-07,0.00017828780190026536,-0.046159818861035706
with sentiment,XGBoost,1.1100151313998884e-07,0.0001835651139919382,-0.07731676534277732
with sentiment,Baseline (persistence),2.0274839545405684e-07,,
