Price,Close,High,Low,Open,Volume
Ticker,NKE,NKE,NKE,NKE,NKE
Date,,,,,
2013-01-02,21.854846954345703,22.12465962160016,21.66935114766085,22.09093384229853,7512800
2013-01-03,22.078289031982422,22.17525287529512,21.82955513541138,21.9012250419881,7232200
2013-01-04,22.293285369873047,22.360738512563035,22.12043659121684,22.13308355290566,6794000
2013-01-07,22.32700538635254,22.37759643649664,22.14572481052625,22.255337144295773,6489400
2013-01-08,22.090927124023438,22.318580487654156,22.002393562834413,22.22583341662307,6714200
2013-01-09,22.11200523376465,22.234264560145213,22.052983933638806,22.16259468984254,5530400
2013-01-10,22.154170989990234,22.293294055610367,21.993969110606255,22.187898378580716,7705600
2013-01-11,22.38603401184082,22.520940306717737,22.052985000981494,22.20053825843753,9791000
2013-01-14,22.423974990844727,22.546234314871892,22.348090004083716,22.423974990844727,5591800
2013-01-15,22.613689422607422,22.66006376390295,22.297502486366916,22.360740516898986,6507200
2013-01-16,22.651634216308594,22.76546171788322,22.44505963094767,22.56310225115391,5300200
2013-01-17,22.546241760253906,22.752817983144812,22.47457347587379,22.676932971324504,4864800
2013-01-18,22.466136932373047,22.584179544655083,22.335445748625094,22.542021928328634,6145400
2013-01-22,22.546241760253906,22.558888726153853,22.364961077373206,22.5209462202437,6207600
2013-01-23,22.381820678710938,22.495648175630652,22.26377806333198,22.402899487427177,6779200
2013-01-24,22.706439971923828,22.71487181723529,22.41133181886282,22.42397878272499,6819800
2013-01-25,23.418909072875977,23.427340916408223,22.761241359457863,22.820262655973877,12542800
2013-01-28,22.97624969482422,23.40626410228134,22.90036470479003,23.355674644995165,8038200
2013-01-29,22.73173713684082,22.959392168040186,22.714875052026642,22.92988150935252,7214800
2013-01-30,22.601037979125977,22.832908031425426,22.579959175864136,22.752807935746592,6343000
2013-01-31,22.786542892456055,22.883506713147835,22.52937720756425,22.605262216490036,9143800
2013-02-01,22.63898468017578,23.06899910120016,22.59682545759894,22.95938673071027,6773400
2013-02-04,22.62212371826172,22.875072651376378,22.554670562217137,22.592613063005345,5075800
2013-02-05,22.71908950805664,22.896155063224747,22.706442542762574,22.740168319616828,4527200
2013-02-06,22.83291244506836,22.921444400807236,22.55466800688195,22.630552999860964,5297000
2013-02-07,23.052141189575195,23.06900488283237,22.79497549613938,22.862428660957764,5573000
2013-02-08,23.014192581176758,23.267141480118653,22.96781824112177,23.005760736784044,5100800
2013-02-11,23.279788970947266,23.566465234162138,23.0732128134328,23.305082894742235,8916600
2013-02-12,23.2249813079834,23.27557076055705,23.098506872444425,23.144881207390977,3866600
2013-02-13,23.001541137695312,23.343021923921015,22.93830312117448,23.199683813588756,6053800
2013-02-14,23.02684783935547,23.18283460450193,22.900373344320585,23.00576902488473,6164200
2013-02-15,23.165966033935547,23.246066155349983,22.984685372862245,23.05635364862093,7056200
2013-02-19,22.963603973388672,23.254495378764755,22.887718979254053,23.140667887562827,8511200
2013-02-20,22.773889541625977,23.043702116284457,22.76124257975442,22.934091360908123,7587200
2013-02-21,22.993114471435547,23.203905763014802,22.81604895023981,23.115373806521898,9355800
2013-02-22,22.963603973388672,23.13645276931532,22.765459643347175,23.018408551655945,5855000
2013-02-25,22.782323837280273,23.182827624480087,22.782323837280273,22.993115134942283,8566000
2013-02-26,22.879281997680664,23.0774262832347,22.74015900359985,22.93830328915389,6085200
2013-02-27,22.908796310424805,22.984681299668587,22.748594487775726,22.832911321181022,6269200
2013-02-28,23.048460006713867,23.15849762954366,22.853780045644683,22.96381605402536,6713600
2013-03-01,23.20081329345703,23.205046378034023,22.929954000683963,23.0315254282495,8053400
2013-03-04,23.16272735595703,23.234675275380017,23.027297687636228,23.086547965720456,5291800
2013-03-05,23.23467254638672,23.27699370734783,23.07384922872665,23.23467254638672,8098000
2013-03-06,23.40396499633789,23.53516321314469,23.15003473449486,23.26007075077371,5812000
2013-03-07,23.37010383605957,23.552087746949592,23.336245613359605,23.446283222685576,5685200
