Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2013-01-02,16.596677780151367,16.777145958945262,16.372983835275793,16.741475620884582,560518000
2013-01-03,16.387191772460938,16.616026007494316,16.353939814797652,16.56191590092538,352965200
2013-01-04,15.9307279586792,16.28229260416351,15.895359522445656,16.232111980489634,594333600
2013-01-07,15.837020874023438,16.00025685894732,15.574027412435889,15.779585093545977,484156400
2013-01-08,15.879636764526367,16.078544624355604,15.756907928638453,15.997530451396456,458707200
2013-01-09,15.631467819213867,15.870579419404931,15.597912346561793,15.794703852449203,407604400
2013-01-10,15.825238227844238,15.982730207705204,15.583706613487067,15.977591546328968,601146000
2013-01-11,15.728200912475586,15.879950425934029,15.689506780337625,15.749360958784509,350506800
2013-01-14,15.167450904846191,15.341267763069803,15.069507996642022,15.195562592400737,734207600
2013-01-15,14.688920974731445,15.084014972270642,14.612138129894435,15.063156824727608,876772400
2013-01-16,15.2986421585083,15.39991073405831,14.887830250813035,14.952519573321148,690804800
2013-01-17,15.195558547973633,15.439508456224805,15.17591120710871,15.42620735175594,453678400
2013-01-18,15.114546775817871,15.181654475836563,15.005721165960288,15.069806694731025,472922800
2013-01-22,15.25873851776123,15.352750318099924,15.012673733463275,15.252390666904642,461546400
2013-01-23,15.538054466247559,15.567678845010438,15.258737741906442,15.380862830749793,861509600
2013-01-24,13.618206024169922,14.078594707002864,13.610647367860555,13.905381688475602,1460852400
2013-01-25,13.297175407409668,13.791420758230942,13.149657264374733,13.654181550766653,1208026400
2013-01-28,13.597953796386719,13.700128053988045,13.175653765546127,13.23520523463663,785517600
2013-01-29,13.853082656860352,13.911425724492961,13.667173962754235,13.860035909365779,571158000
2013-01-30,13.809560775756836,13.983983054758076,13.739127373731067,13.81469943713595,417155200
2013-01-31,13.769047737121582,13.88361578191922,13.753631759614429,13.814089707217883,319334400
2013-02-01,13.712520599365234,13.889663097373901,13.553214077497131,13.878478480909218,539484400
2013-02-04,13.37093448638916,13.782654530623757,13.361260953803376,13.721289269088668,477117200
2013-02-05,13.840089797973633,13.89752558831829,13.367911000199106,13.42323030176894,573347600
2013-02-06,13.825278282165527,14.101873189147154,13.68108420348137,13.798676067261786,593706400
2013-02-07,14.236355781555176,14.290475965144003,13.807640593263558,14.085241784586776,704580800
2013-02-08,14.44189453125,14.558346533281146,14.237266044323153,14.412097498031406,633158400
2013-02-11,14.592399597167969,14.744731449196168,14.389294250035595,14.48810998084887,517490400
2013-02-12,14.226621627807617,14.666890139876843,14.22175667471407,14.579626261623446,609053200
2013-02-13,14.199566841125488,14.401153956171923,14.084331056823507,14.205648035108677,475207600
2013-02-14,14.186792373657227,14.34033881649646,14.10865108702867,14.123853254964677,355275200
2013-02-15,13.991288185119629,14.295341322958846,13.983990753925106,14.255509105067963,391745200
2013-02-19,13.986117362976074,14.069428887021076,13.799430439489434,14.019868386779827,435783600
2013-02-20,13.647405624389648,13.916187867854847,13.645884108231202,13.916187867854847,476302400
2013-02-21,13.562572479248047,13.657133803417482,13.464059597872062,13.560748121523963,447182400
2013-02-22,13.707001686096191,13.731021184801678,13.578995392646828,13.659569996183581,330654800
2013-02-25,13.463454246520996,13.838046822630695,13.456460468275177,13.799432463056604,372579200
2013-02-26,13.651053428649902,13.729194726074738,13.30716969019047,13.494465556298964,501499600
2013-02-27,13.517268180847168,13.756557813717844,13.39808006275262,13.634631941303033,587350400
2013-02-28,13.420886993408203,13.617608323387554,13.420886993408203,13.501460776553339,322515200
2013-03-01,13.088557243347168,13.322981968236746,13.073658725679552,13.317508082344919,552448400
2013-03-04,12.771738052368164,13.019540661918361,12.739812184235623,13.00737827179005,582755600
2013-03-05,13.108924865722656,13.232066159013144,12.793014662225863,12.815210606525458,638433600
2013-03-06,12.942307472229004,13.23389460431858,12.904908539046097,13.211394188902783,460250000
2013-03-07,13.091899871826172,13.135379992687803,12.802441601157767,12.907035677493353,468473600
2013-03-08,13.126562118530273,13.239365401112966,13.032001602087028,13.068184292594152,391482000
2013-03-11,13.313559532165527,13.348222344005487,12.926499991659123,13.066668696103934,474236000
2013-03-12,13.026529312133789,13.344264747687351,13.000380993934359,13.244535617419988,465911600
2013-03-13,13.024096488952637,13.211088704725363,12.933185496974348,13.027137897304284,405549200
2013-03-14,13.15027904510498,13.215345372444915,13.087947224758818,13.160311795378746,303875600
2013-03-15,13.489603042602539,13.5069340381577,13.294704444128987,13.315380502069948,643960800
2013-03-18,13.85628890991211,13.90919285017305,13.414804066999737,13.422405151848155,606197200
2013-03-19,13.818891525268555,14.01591730586094,13.636762637667923,13.971220131619493,526775200
2013-03-20,13.745616912841797,13.91436721713183,13.669908071718469,13.90798236891424,308660800
2013-03-21,13.76537799835205,13.92500567133863,13.685413146909342,13.689061862945321,383255600
2013-03-22,14.044501304626465,14.050277221397668,13.776935248429753,13.821630809050319,395105200
2013-03-25,14.095274925231934,14.288957268668826,14.040545812055797,14.129024328515012,501135600
2013-03-26,14.021084785461426,14.163988749078769,14.002537554367313,14.15182636412912,294294000
2013-03-27,13.745616912841797,13.88912985421276,13.704570068171337,13.878792635557321,331237200
2013-03-28,13.459197998046875,13.737710167930786,13.427576603431563,13.67689985612506,442839600
2013-04-01,13.04112720489502,13.490821386427344,13.005553435161094,13.436091448187147,389732000
2013-04-02,13.067882537841797,13.32176629569329,12.964808330260983,13.001295493925346,529519200
2013-04-03,13.134775161743164,13.29561910162149,13.08369394018781,13.115923458917228,363216000
2013-04-04,13.004942893981934,13.226293473510147,12.929842181456605,13.188591696336056,358447600
2013-04-05,12.867513656616211,12.920722890651177,12.760486257187543,12.907039797066105,383695200
2013-04-08,12.95903205871582,12.99825454317482,12.845925095003402,12.917680750347166,300829200
2013-04-09,12.982441902160645,13.028657345588678,12.853827510652353,12.963591015587578,306614000
2013-04-10,13.247273445129395,13.288929216891674,12.952950159158942,13.016497416790832,375928000
2013-04-11,13.205923080444336,13.317205680940408,13.11075361397747,13.187375033135195,328364400
2013-04-12,13.068183898925781,13.200446182200142,13.046596071507121,13.200446182200142,238613200
2013-04-15,12.765653610229492,13.010111906268213,12.75653181995348,12.983051001070214,317520000
2013-04-16,12.959940910339355,12.971189898429168,12.787542759200656,12.81794790932519,305771200
2013-04-17,12.247243881225586,12.788458784287723,12.104643534517502,12.778424408163437,945056000
2013-04-18,11.920385360717773,12.3381535480995,11.850148804275324,12.313829589685719,666299200
2013-04-19,11.874171257019043,12.149947301120205,11.70906969027081,11.796333601724463,609274400
2013-04-22,12.121668815612793,12.22900066152882,11.896671154516538,11.93832529963992,429920400
2013-04-23,12.348490715026855,12.416902097019934,12.125923141630453,12.283422770857744,664238400
2013-04-24,12.328123092651367,12.625790662855064,11.934070619183148,11.96569283065228,969651200
2013-04-25,12.416899681091309,12.585952730615992,12.374940275281814,12.503554622694393,384837600
2013-04-26,12.685078620910645,12.732814770680044,12.412951308754689,12.460383804811803,764097600
2013-04-29,13.077917098999023,13.184335558801852,12.770215176339455,12.783897456953143,640326400
2013-04-30,13.462848663330078,13.537950201363595,13.137208394416753,13.229336466008116,691538400
2013-05-01,13.356729507446289,13.52821507543285,13.207744351582141,13.513924679092987,506909200
2013-05-02,13.546159744262695,13.639502427718595,13.397477378077369,13.432443029139948,421828400
2013-05-03,13.681763648986816,13.780581006209855,13.656526291892732,13.722201552970471,361300800
2013-05-06,14.008014678955078,14.053317543598611,13.81341972239206,13.855986455743276,496641600
2013-05-07,13.945679664611816,14.161252661090579,13.794869338414564,14.137536822275509,483753200
2013-05-08,14.103179931640625,14.149700653012381,13.859026117405772,13.957234544525871,472598000
2013-05-09,13.980141639709473,14.17082015994977,13.94372026720622,14.073185970873757,398487600
2013-05-10,13.86384105682373,14.070129724388496,13.787631088545865,14.01687395533262,334852000
2013-05-13,13.918006896972656,14.014724072268017,13.818842778776887,13.819148442318888,316948800
2013-05-14,13.585015296936035,13.932093131638174,13.532677339362818,13.890774594761092,447118000
2013-05-15,13.125608444213867,13.497478496972366,12.926972848570195,13.441162832510694,741613600
2013-05-16,13.300982475280762,13.401066053920399,12.82107264795609,12.95390473014459,603204000
2013-05-17,13.260581970214844,13.469624817115646,13.191717758750755,13.437794121128324,427904400
2013-05-20,13.556549072265625,13.644389771688905,13.163866926227781,13.219264781892685,451578400
2013-05-21,13.456465721130371,13.634595701335721,13.289354342983845,13.410250032862884,456022000
2013-05-22,13.508191108703613,13.722437624196402,13.412392525629349,13.59082899201637,443038400
2013-05-23,13.532365798950195,13.655404365121857,13.338014457082902,13.342911612028903,353021200
2013-05-24,13.624495506286621,13.640104783645096,13.477890564570274,13.49288769737974,276166800
2013-05-28,13.510945320129395,13.806910275477161,13.492888281076192,13.769877571866283,386145200
2013-05-29,13.618371963500977,13.696419155556145,13.44850555508259,13.466869888724624,330576400
2013-05-30,13.821294784545898,13.910666249615002,13.604906192471809,13.639797612717713,353519600
2013-05-31,13.764676094055176,13.990246079786044,13.757636022109212,13.849454448257474,384302800
2013-06-03,13.794971466064453,13.845165674987465,13.542773680736982,13.795277129639697,372352400
2013-06-04,13.751816749572754,13.908522467283227,13.693052514072502,13.871488134893886,292728800
2013-06-05,13.623271942138672,13.794974819501347,13.58042263871039,13.63979902855891,290589600
2013-06-06,13.419734954833984,13.681114903794562,13.284760786653408,13.634287081122793,416934000
2013-06-07,13.522268295288086,13.566035399688502,13.245584711279623,13.359747613604027,404535600
2013-06-10,13.43289566040039,13.744775481516989,13.368928611037557,13.61163774652499,450153200
2013-06-11,13.393414497375488,13.551344510844324,13.262418842179242,13.336487510146483,286112400
