Price,Close,High,Low,Open,Volume
Ticker,NKE,NKE,NKE,NKE,NKE
Date,,,,,
2013-01-02,21.854839324951172,22.124651898015664,21.66934358302178,22.0909261304875,7512800
2013-01-03,22.078277587890625,22.175241380942943,21.829543820248663,21.901213689675902,7232200
2013-01-04,22.29328727722168,22.360740425682764,22.120438483777036,22.13308544654789,6794000
2013-01-07,22.327014923095703,22.377605994849233,22.14573426983734,22.25534665042661,6489400
2013-01-08,22.090932846069336,22.318586268667385,22.00239926194813,22.225839173612727,6714200
2013-01-09,22.11200523376465,22.234264560145213,22.052983933638806,22.16259468984254,5530400
2013-01-10,22.154163360595703,22.293286378305,21.99396153638162,22.187890737571237,7705600
2013-01-11,22.386035919189453,22.520942225560738,22.05298687995348,22.20054014998144,9791000
2013-01-14,22.423978805541992,22.546238150367536,22.34809380587166,22.423978805541992,5591800
2013-01-15,22.613691329956055,22.66006567516302,22.297504367046802,22.360742402912674,6507200
2013-01-16,22.65163230895996,22.765459800949905,22.445057740993356,22.563100351259987,5300200
2013-01-17,22.546232223510742,22.75280835902281,22.474563969445303,22.6769233793008,4864800
2013-01-18,22.466136932373047,22.584179544655083,22.335445748625094,22.542021928328634,6145400
2013-01-22,22.546232223510742,22.5588791840612,22.364951617309224,22.520936694200195,6207600
2013-01-23,22.38181495666504,22.495642424484075,22.263772371464384,22.402893759992356,6779200
2013-01-24,22.70644187927246,22.7148737252922,22.41133370142227,22.423980666346786,6819800
2013-01-25,23.418907165527344,23.42733900837286,22.761239505672854,22.82026079738189,12542800
2013-01-28,22.976245880126953,23.406260216189708,22.900360902691784,23.35567076730279,8038200
2013-01-29,22.731733322143555,22.959388315139282,22.714871240159066,22.92987766140391,7214800
2013-01-30,22.601043701171875,22.832913812175313,22.579964892573383,22.752813696217036,6343000
2013-01-31,22.786540985107422,22.883504797682843,22.529375321741682,22.60526032431551,9143800
2013-02-01,22.63898468017578,23.06899910120016,22.59682545759894,22.95938673071027,6773400
2013-02-04,22.62211799621582,22.87506686534951,22.554664857232858,22.59260734842388,5075800
2013-02-05,22.719083786010742,22.896149296582994,22.70643682390195,22.740162592262006,4527200
2013-02-06,22.832910537719727,22.921442486063082,22.554666122776485,22.63055110941644,5297000
2013-02-07,23.052133560180664,23.068997247856586,22.79496795185705,22.862421094350967,5573000
2013-02-08,23.014190673828125,23.26713955180636,22.967816337616508,23.005758830134216,5100800
2013-02-11,23.279781341552734,23.566457510816313,23.073205251738667,23.305075257058224,8916600
2013-02-12,23.2249813079834,23.27557076055705,23.098506872444425,23.144881207390977,3866600
2013-02-13,23.001541137695312,23.343021923921015,22.93830312117448,23.199683813588756,6053800
2013-02-14,23.02684211730957,23.182828843694175,22.900367653702908,23.0057633080768,6164200
2013-02-15,23.16596031188965,23.246060413519174,22.98467969559308,23.05634795364954,7056200
2013-02-19,22.963611602783203,23.254503104804623,22.887726583436663,23.140675575784815,8511200
2013-02-20,22.77388572692871,23.043698256392748,22.761238767175563,22.934087519376558,7587200
2013-02-21,22.99311637878418,23.203907687849213,22.81605084290032,23.115375724012313,9355800
2013-02-22,22.963611602783203,23.136460456136884,22.765467206910518,23.01841619925867,5855000
2013-02-25,22.782320022583008,23.182823742722025,22.782320022583008,22.99311128494989,8566000
2013-02-26,22.879283905029297,23.077428207101782,22.74016089935039,22.938305201422878,6085200
2013-02-27,22.908796310424805,22.984681299668587,22.748594487775726,22.832911321181022,6269200
2013-02-28,23.048463821411133,23.158501462453,22.853783828120918,22.9638198547134,6713600
2013-03-01,23.200824737548828,23.20505782421384,22.92996531117102,23.031536788837933,8053400
2013-03-04,23.16272735595703,23.234675275380017,23.027297687636228,23.086547965720456,5291800
2013-03-05,23.234668731689453,23.276989885702225,23.073845440433555,23.234668731689453,8098000
2013-03-06,23.40396499633789,23.53516321314469,23.15003473449486,23.26007075077371,5812000
2013-03-07,23.370098114013672,23.552081980345896,23.33623989960371,23.446277481987558,5685200
